Node	Occurrences	Present in network(s)	Cited in paper(s)
H5N4G1	1	[790;P07288]	[10.1111/j.1432-1033.1988.tb13966.x, 10.1002/elps.1150191113, 10.18632/oncotarget.26005, 10.1074/jbc.275.11.7731]
H5N4G2	1	[23;P02765]	[10.1111/j.1432-1033.1993.tb18434.x, 10.1074/mcp.M110.000430, 10.1111/j.1432-1033.1988.tb13966.x, 10.1016/s0304-4165(00)00083-0, 10.18632/oncotarget.26005, 10.1002/elps.1150191113, 10.1016/j.carres.2014.01.018, 10.1074/jbc.275.11.7731]
H8N3	1	[815;P15144]	[10.1038/s41467-019-09222-w]
H6N5F1S1	26	[607;P02786, 1406;P17301, 1087;Q5ZPR3, 1976;Q9H2E6, 732;Q8WXD2, 1927;P11597, 1943;P01880, 1414;P05556, 653;P98160, 1910;O15204, 1937;P52799, 1386;Q9Y6R7, 1479;Q14108, 1391;O14498, 1781;Q4LDE5, 1512;P55083, 1052;P20851, 1868;Q9Y274, 1204;Q6P179, 1131;Q99715, 1171;Q02487, 1708;P10586, 668;Q13201, 815;P15144, 706;P09486, 734;Q9Y5Y7]	[10.1007/bf00731362, 10.1016/0014-5793(90)80361-l, 10.1016/s0021-9258(20)64312-5, 10.1016/j.jaci.2014.02.025, 10.1074/jbc.M307132200, 10.1038/s41598-018-20331-2, 10.1074/jbc.M004298200, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1997.00334.x, 10.1074/mcp.RA120.002295, 10.1038/nprot.2012.062, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1021/bi961075b, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.0c01794, 10.1021/acs.jproteome.8b00796, 10.1111/j.1432-1033.1989.tb15206.x, 10.1074/jbc.275.11.7731, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1093/glycob/10.3.251, 10.1016/0008-6215(90)84171-p, 10.1101/853036, 10.1021/pr500238v, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1093/glycob/10.3.295, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1007/s00216-014-8226-5, 10.1126/science.abb9983, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1021/pr400714w, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1111/j.1470-8744.1996.tb00399.x]
H8N2	26	[2267;Q4VA61, 533;Q40379, 1186;P04843, 2420;P30999-2, 1783;Q16563, 1742;Q9HAT2, 2355;Q9JL56, 1394;Q969P0, 1779;Q9Y5Y6, 1478;P42785, 2411;P59823, 1145;P06681, 493;P07219, 502;P00747, 1466;Q9NZR2, 2304;Q8R180, 1734;Q92854, 494;P02853, 2413;Q9R1V6-16, 2201;Q8VEK0, 1007;Q86SJ2, 723;P10253, 1806;P49746, 1871;Q9NYU2, 1005;P06280, 1136;P05997]	[10.1016/s0021-9258(19)50338-6, 10.1093/glycob/11.10.791, 10.1271/bbb1961.54.3259, 10.1006/abbi.1994.1055, 10.1093/glycob/10.8.837, 10.1016/0003-9861(82)90550-1, 10.1007/bf00731292, 10.1111/j.1432-1033.1991.tb15995.x, 10.1007/bf00731153, 10.1016/S0021-9258(19)50314-3, 10.1006/abio.2000.4737, 10.1111/j.1432-1033.1990.tb19409.x, 10.1074/jbc.M100573200, 10.1021/acs.analchem.8b01051, 10.1023/a:1006999718552, 10.1515/bchm3.1995.376.9.531, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.5b00756, 10.3390/pharmaceutics13111747, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1093/glycob/10.3.295, 10.1093/glycob/5.2.227, 10.1016/0166-6851(88)90011-4, 10.1016/j.jprot.2014.02.005, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1104/pp.119.2.725, 10.1093/glycob/11.4.261, 10.1016/j.jprot.2014.03.040, 10.1042/0264-6021:3570167, 10.18632/oncotarget.26005, 10.1093/glycob/2.1.57, 10.1016/0008-6215(94)84234-5, 10.1093/glycob/cwg023, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/ac4006556, 10.1046/j.1432-1327.1999.00859.x, 10.1074/jbc.M307132200, 10.1042/BJ20030485, 10.1021/bi00195a022, 10.1093/glycob/10.12.1347, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1006/bbrc.1993.2412, 10.1093/glycob/10.6.551, 10.1016/0008-6215(94)84015-6, 10.1093/glycob/10.9.901, 10.1016/s0021-9258(18)90588-0, 10.1074/mcp.O114.046748, 10.1074/jbc.272.14.9062, 10.1016/s0304-4165(00)00128-8, 10.1093/glycob/8.7.663, 10.1016/s0021-9258(18)52295-x, 10.1002/j.1460-2075.1985.tb03991.x, 10.4049/jimmunol.173.11.6831, 10.1016/s0021-9258(18)54426-4, 10.1093/glycob/9.1.21, 10.1021/bi00405a022, 10.1271/bbb.59.507, 10.1016/S0021-9258(19)50313-1, 10.1111/j.1432-1033.1991.tb16106.x, 10.1016/s0021-9258(19)38919-7, 10.1093/glycob/cwaa052, 10.1093/glycob/10.9.941, 10.1074/jbc.M002693200, 10.1074/mcp.RA120.002295, 10.1021/ac015618l, 10.1271/bbb.80598, 10.1016/s0021-9258(19)67629-5, 10.1093/glycob/11.3.195, 10.1074/jbc.M009361200, 10.1021/pr500414q, 10.1006/abio.1993.1085, 10.1093/glycob/9.5.443, 10.1073/pnas.1320544111, 10.1021/bi00210a019, 10.1016/s0021-9258(19)69207-0, 10.1021/pr400714w, 10.1074/jbc.M504528200, 10.1007/s13361-013-0823-6, 10.1093/glycob/2.4.299, 10.1021/ac900231w, 10.1016/j.chom.2020.08.004, 10.1093/oxfordjournals.jbchem.a123767, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1271/bbb.56.215, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1007/bf00702201, 10.1093/oxfordjournals.jbchem.a003169, 10.1111/j.1432-1033.1990.tb15350.x, 10.1111/j.1432-1033.1990.tb19122.x, 10.1093/glycob/5.6.589, 10.1111/j.1432-1033.1990.tb19256.x, 10.1111/j.1432-1033.1989.tb15206.x, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1111/j.1432-1033.1985.tb09161.x, 10.1006/abbi.1993.1595, 10.1016/0042-6822(90)90095-9, 10.1093/glycob/3.5.465, 10.1111/j.1432-1033.1992.tb16639.x, 10.1007/bf01053193, 10.1101/853036, 10.1073/pnas.1309417110, 10.1006/abbi.2001.2421, 10.1271/bbb.60.1123, 10.1021/acs.analchem.8b01137, 10.1007/s00425-003-1099-z, 10.1016/0003-2697(87)90171-0, 10.1126/science.abb9983, 10.1016/s0166-6851(00)00310-8, 10.1021/bi002313c, 10.1006/abbi.1994.1021, 10.1271/bbb.64.2109, 10.1093/glycob/cwh105]
H6N5F1S2	30	[1935;Q96AP7, 2010;Q9NU22, 1442;P07942, 1587;Q9NRN5, 46;Q9TRC7, 1612;O43157, 1980;Q5T2D2, 1086;P25063, 50;P26324, 495;P04180, 1216;Q9Y2E5, 1029;Q16620, 1774;O00391, 502;P00747, 1429;P29622, 1734;Q92854, 1539;Q92859, 1152;Q03591, 284;P19827, 1524;Q9H8L6, 1981;O75509, 1982;Q06418, 1971;P28827, 649;P40189, 1503;Q13421, 1962;Q99784, 714;P03952, 1120;P12259, 763;Q9ULI3, 1922;Q9BYE9]	[10.1016/0014-5793(90)80361-l, 10.1038/s41598-018-20331-2, 10.1038/nprot.2012.062, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1021/acs.analchem.0c01794, 10.1093/glycob/cwaa101, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1016/s0021-9258(18)34193-0, 10.1111/j.1432-1033.1995.tb20350.x, 10.1016/j.jprot.2014.02.005, 10.1007/s00216-014-8226-5, 10.1016/j.euprot.2014.11.002, 10.1021/pr400714w, 10.1074/mcp.RA119.001607, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/0021-9673(90)85022-n, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1111/j.1470-8744.1996.tb00399.x, 10.1074/mcp.M112.024018, 10.1111/j.1432-1033.1996.0076n.x, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1997.00334.x, 10.1002/pmic.201400038, 10.7150/thno.65398, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1021/bi961075b, 10.1111/j.1432-1033.1989.tb15206.x, 10.1111/j.1432-1033.1993.tb17732.x, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1021/pr400196s, 10.1093/glycob/10.3.251, 10.1111/j.1432-1033.1992.tb17362.x, 10.1101/853036, 10.1073/pnas.1309417110, 10.1111/j.1432-1033.1993.tb17702.x, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1093/abbs/gmt110, 10.1093/oxfordjournals.jbchem.a124143, 10.1016/0014-5793(88)80024-3, 10.1002/elps.1150191113, 10.1021/ac402338u]
H7N2F1	1	[230;P01876]	[10.1074/mcp.M112.024018, 10.1093/glycob/10.6.551]
H8N6	32	[1087;Q5ZPR3, 355;P11279, 1455;Q9UIQ6, 1172;Q14126, 1057;Q9UQC9, 655;Q13308, 627;P04275, 356;P13473, 1193;Q9Y5L3, 759;P10909, 1792;P24821, 1085;Q13740, 1042;P21810, 1637;P51888, 1479;Q14108, 320;P02788, 14;P19652, 140;P01588, 79;P13987, 1645;P07602, 692;P25311, 1242;Q06828, 286;P32942, 1400;Q9NX62, 1765;Q99523, 1261;P19440, 2940;P06858, 1084;P11717, 1444;P11047, 339;P08575, 2932;P47710, 736;P16070]	[10.1074/jbc.M101380200, 10.1093/glycob/cwaa052, 10.1016/0003-9861(82)90550-1]
H8N8	6	[14;P19652, 286;P32942, 140;P01588, 759;P10909, 613;P07911, 339;P08575]	[10.1038/s41467-019-09222-w, 10.18632/oncotarget.26005]
H8N6S1	3	[1470;P51884, 744;P00738, 757;P02790]	[10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1111/j.1432-1033.1990.tb15281.x, 10.1074/jbc.M101380200]
H8N6S2	3	[483;R7VTP9, 2986;P08637, 2990;P08637]	[10.1620/tjem.166.407]
H6N4F1S1	49	[683;P55058, 1197;Q13822, 1895;P54289, 1955;P07333, 1923;Q9HBB8, 1177;P27487, 1043;P43251, 374;Q99102, 1504;Q6P4Q7, 1287;Q86SQ4, 592;P40225, 1966;O95497, 1954;P48357, 1230;Q8IXL6, 1998;Q6GTX8, 1965;Q99650, 795;Q6YHK3, 1915;Q9HBW9, 1805;P35442, 1983;P30530, 1084;P11717, 1374;P01912, 1962;Q99784, 1806;P49746, 1090;P48960, 1945;P17936, 2947;O00300, 713;P00736, 1863;Q9UJT0, 1207;P42892, 374;P15941, 1437;Q08431, 1766;Q92673, 617;P33151, 603;P00750, 637;Q76LX8, 1372;Q9GIY3, 1493;O95460, 1370;P20039, 1407;P08648, 1109;P06276, 1371;Q5Y7A7, 1916;P05186, 1600;Q92626, 1938;P22455, 1383;Q9Y4L1, 1088;P08962, 1120;P12259, 1142;P02745]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1111/j.1432-1033.1982.tb06694.x, 10.1016/s0021-9258(20)64312-5, 10.1046/j.1432-1327.1999.00766.x, 10.1016/0008-6215(90)84171-p, 10.1016/j.jaci.2014.02.025, 10.1021/pr500238v, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01137, 10.1074/jbc.M004298200, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1074/mcp.RA120.002295, 10.1007/bf00731640, 10.18632/oncotarget.26005, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/acs.analchem.1c00893, 10.1016/0021-9673(90)85022-n, 10.1016/s0021-9258(19)70378-0, 10.1074/jbc.275.11.7731]
H6N4F1S2	36	[1949;P27930, 1442;P07942, 1976;Q9H2E6, 355;P11279, 1794;P22105, 1546;O15394, 1941;P04406, 1707;Q12913, 1177;P27487, 1605;Q96BZ4, 1939;Q6ZMI3, 1641;Q12884, 797;Q9HDC9, 1937;P52799, 1479;Q14108, 1391;O14498, 1781;Q4LDE5, 686;Q96FE7, 676;P02750, 1924;P23280, 1932;P24387, 2978;Q02223, 1131;Q99715, 1242;Q06828, 86;P00749, 681;Q9NY15, 1967;P09619, 1171;Q02487, 1708;P10586, 1585;Q6UX06, 1139;P12111, 1765;Q99523, 706;P09486, 1624;Q9UHG3, 1979;P37173, 86;P00750]	[10.1016/s0008-6215(99)00254-2, 10.1021/ac4006556, 10.1021/acs.analchem.0c01794, 10.1038/s41598-018-20331-2]
H3N3F1S1	9	[1383;Q9Y4L1, 2615;Q61207, 600;P01266, 658;P50454, 2815;P29533, 2675;B9EKR1, 1712;Q15293, 1088;P08962, 1366;P04440]	[10.1021/pr500575r, 10.1101/853036]
H6N2F1	20	[803;P54802, 2184;O89001, 2973;P01859, 1839;P43307, 2281;P21995, 2545;P55066, 711;Q14624, 647;P01877, 2706;Q62086, 2273;O55026, 1171;Q02487, 653;P98160, 2190;P18242, 2986;P08637, 1712;Q15293, 2477;Q8C129, 2987;P08637, 1884;Q6UXG2, 2332;Q99JP7, 1062;O43852]	[10.1038/s41467-019-09222-w, 10.1074/mcp.M112.024018, 10.1093/glycob/10.6.551, 10.1111/jth.14861]
H9N6F1S1	1	[79;P13987]	[10.1074/jbc.M307132200]
H5N4F1s1	1	[613;P07911]	[10.1016/s0021-9258(18)66567-6, 10.1101/853036, 10.1038/s41598-021-84668-x, 10.1006/abio.2001.5199, 10.1046/j.0014-2956.2001.02613.x]
H6N5F1S3	11	[1949;P27930, 1708;P10586, 1912;Q9NZK5, 1785;Q7Z7G0, 1944;Q8TDY8, 1961;Q8IVL1, 1228;Q16610, 2094;P58166, 1204;Q6P179, 1979;P37173, 1928;Q92496]	[10.1016/j.jchromb.2008.05.006, 10.1016/0014-5793(90)80361-l, 10.1016/s0021-9258(20)64312-5, 10.1038/s41598-018-20331-2, 10.1074/mcp.RA120.002295, 10.1038/nprot.2012.062, 10.1021/acs.analchem.8b01051, 10.1023/a:1006915200989, 10.1002/pmic.201300270, 10.1021/acs.analchem.0c01794, 10.1016/0003-2697(92)90367-g, 10.1093/glycob/cwaa042, 10.1093/glycob/8.11.1053, 10.1093/glycob/cwaa101, 10.1046/j.1432-1327.2001.02321.x, 10.1021/bi035278t, 10.1016/j.jprot.2014.02.005, 10.1111/j.1432-1033.1995.tb20350.x, 10.1007/s00216-014-8226-5, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1038/s41592-021-01309-x, 10.1093/oxfordjournals.jbchem.a022738, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1111/j.1432-1033.1992.tb16863.x, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1074/mcp.M112.024018, 10.1111/j.1432-1033.1996.0076n.x, 10.1021/pr500506z, 10.1016/s0021-9258(18)33911-5, 10.1074/jbc.M004298200, 10.1093/glycob/7.1.67, 10.1002/pmic.201400038, 10.1016/0304-4165(94)00191-y, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1021/bi961075b, 10.1016/s0021-9258(19)70378-0, 10.1111/j.1432-1033.1993.tb17732.x, 10.1021/acs.jproteome.9b00753, 10.1046/j.1432-1327.1998.2560471.x, 10.1093/oxfordjournals.jbchem.a121897, 10.1111/j.1432-1033.1993.tb18434.x, 10.1021/pr400196s, 10.1111/j.1432-1033.1992.tb17362.x, 10.1093/glycob/10.3.251, 10.1093/oxfordjournals.jbchem.a133680, 10.1111/j.1432-1033.1990.tb19332.x, 10.1101/853036, 10.1016/0003-9861(91)90107-t, 10.1016/0167-4838(94)90119-8, 10.1073/pnas.1309417110, 10.1111/j.1432-1033.1993.tb17702.x, 10.1021/acs.analchem.8b01137, 10.1093/glycob/4.2.227, 10.1016/s0008-6215(99)00254-2, 10.1126/science.abb9983, 10.1002/elps.1150191113, 10.1021/ac402338u, 10.1006/abio.1994.1374]
H4N5S1	17	[161;P02751, 1645;P07602, 692;P25311, 1636;P12273, 770;P01861, 1642;O43490, 1526;P25189, 20;P01009, 1172;Q14126, 757;P02790, 558;P02787, 2838;P0DTC2, 518;P00734, 1792;P24821, 1120;P12259, 23;P02765, 1042;P21810]	[10.1038/s41467-019-09222-w, 10.1016/j.jchromb.2008.05.006, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1992.tb17090.x, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/acs.jproteome.5b00756, 10.1074/mcp.M112.024018, 10.1093/glycob/cwaa101, 10.1021/ac4006556, 10.1021/pr500238v, 10.1101/853036, 10.1016/j.jprot.2014.02.005, 10.1021/acs.analchem.8b01137, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.4049/jimmunol.173.11.6831, 10.1016/j.jprot.2021.104148, 10.1002/pmic.201300270]
H8N6S3	1	[718;P02763]	[10.1620/tjem.166.407]
H3N9F1	2	[172;P06870, 613;P07911]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1016/s0166-6851(00)00241-3, 10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1021/acs.analchem.8b01137]
H4N5S2	1	[1470;P51884]	[10.1038/s41467-019-09222-w, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/acs.jproteome.9b00753, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/mcp.M112.024018, 10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1016/j.jprot.2021.104148, 10.1074/jbc.M307132200, 10.1021/acs.analchem.8b01137]
H5N4F1	27	[1488;P48740, 21;P02760, 57;P04114, 710;O60637, 1425;Q9NPH3, 996;P58397, 1520;Q9HC84, 1439;P24043, 780;P04217, 1545;P13591, 518;P00734, 1514;Q9P2G4, 1190;Q96DT5, 1692;Q9H792, 1889;Q96RL7, 2224;P12960, 1516;O60566, 670;Q6EMK4, 2617;O09114, 2839;P0DTC2, 1438;P25391, 160;P02679, 1025;Q9Y2J2, 749;P05155, 699;Q96IY4, 2182;P61215, 805;P04196]	[10.1016/0009-8981(94)90115-5, 10.1016/s0021-9258(19)50338-6, 10.1006/bbrc.1999.0176, 10.1016/0014-5793(90)80361-l, 10.1046/j.1432-1327.1999.00766.x, 10.1006/abbi.1994.1055, 10.1007/bf00731292, 10.1093/oxfordjournals.jbchem.a133671, 10.1006/bbrc.2000.2224, 10.1111/j.1432-1033.1990.tb19409.x, 10.1093/oxfordjournals.jbchem.a123807, 10.1021/acs.analchem.8b01051, 10.1073/pnas.86.20.7819, 10.1016/0003-9861(91)90144-8, 10.1074/jbc.275.11.7731, 10.1016/S0022-2275(20)32568-2, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1111/j.1432-1033.1992.tb16733.x, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1074/jbc.M606711200, 10.1023/a:1006989910120, 10.1093/glycob/10.3.295, 10.1111/j.1432-1033.1995.0805m.x, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1016/s0021-9258(18)68975-6, 10.1093/glycob/5.3.281, 10.1021/bi00241a008, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1007/bf01053197, 10.1038/nmeth.1392, 10.1021/bi9524880, 10.1002/elps.11501401205, 10.1038/s41592-021-01309-x, 10.1016/0161-5890(90)90103-7, 10.18632/oncotarget.26005, 10.1023/a:1022528829799, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1016/j.carres.2014.01.018, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/bi00145a013, 10.1021/ac4009995, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1111/j.1432-1033.1996.0076n.x, 10.1016/s0021-9258(18)50617-7, 10.1093/glycob/10.12.1347, 10.1023/a:1019640312730, 10.1093/glycob/7.1.67, 10.1093/oxfordjournals.jbchem.a124273, 10.1111/j.1432-1033.1997.00334.x, 10.1042/ba19990105, 10.7150/thno.65398, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1093/glycob/3.3.225, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1074/mcp.M111.013649, 10.1074/mcp.M114.039537, 10.1093/glycob/9.8.823, 10.1021/pr200397h, 10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.1016/s0021-9258(18)90588-0, 10.1007/BF02778058, 10.1074/mcp.O114.046748, 10.1016/j.ygcen.2004.01.015, 10.1021/pr4012393, 10.1016/s0008-6215(99)00254-2, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1002/j.1460-2075.1985.tb03991.x, 10.1093/glycob/10.5.511, 10.1002/elps.1150191113, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831, 10.1021/ac9801059, 10.1016/B978-0-12-058756-8.50035-3, 10.1046/j.1432-1327.1999.00105.x, 10.1016/j.jchromb.2008.05.006, 10.1111/j.1432-1033.1992.tb16776.x, 10.1021/bi00464a020, 10.1023/B:GLYC.0000038293.37376.9f, 10.1007/bf00318054, 10.1016/0305-0491(93)90056-b, 10.1016/s0021-9258(19)30077-8, 10.1016/s0021-9258(19)38919-7, 10.1074/jbc.M002693200, 10.1021/bi00222a012, 10.1111/j.1432-1033.1993.tb18200.x, 10.1074/mcp.RA120.002295, 10.1093/glycob/10.4.421, 10.1023/a:1006915200989, 10.1016/s0021-9258(19)68868-x, 10.1016/0161-5890(93)90145-2, 10.1021/pr5005482, 10.1021/acs.analchem.0c01794, 10.1006/abio.2001.5199, 10.1074/jbc.M009361200, 10.1006/prep.2001.1501, 10.1021/pr500414q, 10.1006/abbi.1993.1284, 10.1042/bj3380529, 10.1093/glycob/9.5.443, 10.1046/j.1432-1327.2001.01985.x, 10.1021/bi00210a019, 10.1007/s00216-014-8226-5, 10.1016/s0021-9258(19)69207-0, 10.1016/s0021-9258(19)39438-4, 10.1021/pr400714w, 10.1074/jbc.M504528200, 10.1016/s0378-4347(99)00330-8, 10.1021/ac900231w, 10.1016/0009-8981(90)90201-3, 10.1038/bjc.1993.91, 10.1016/j.chom.2020.08.004, 10.1006/bbrc.1993.1516, 10.1016/s0021-9258(17)43832-4, 10.1007/bf00731362, 10.1074/mcp.M112.024018, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/1.1.45, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1074/jbc.M004298200, 10.1046/j.1432-1327.1999.00095.x, 10.1016/s0021-9258(18)52290-0, 10.1042/bj2680529, 10.1093/glycob/cwh031, 10.1042/bj2780505, 10.1002/pmic.201400038, 10.1021/bi00217a006, 10.1006/abbi.1993.1332, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1093/glycob/9.9.915, 10.1021/bi00415a038, 10.1093/oxfordjournals.jbchem.a022585, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.8b00796, 10.1021/bi00223a015, 10.1093/glycob/9.3.227, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1006/abbi.1993.1595, 10.1093/glycob/10.3.251, 10.1006/abbi.1994.1216, 10.1093/glycob/3.5.465, 10.1016/0008-6215(90)84171-p, 10.1111/j.1432-1033.1993.tb18020.x, 10.1093/oxfordjournals.jbchem.a133680, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1016/0161-5890(91)90027-h, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1016/s0021-9258(19)39283-x]
H5N4F2	51	[1241;Q14314, 2403;P09055, 1448;Q14767, 1281;Q8NBJ4, 2372;Q640R3, 1807;Q6ZMP0, 658;P50454, 1512;P55083, 1129;P12109, 1443;P55268, 1132;Q05707, 647;P01877, 679;O75882, 770;P01861, 137;P00533, 1476;P11117, 2967;P01877, 1890;P13611, 2940;P06858, 2966;P01876, 607;P02786, 1495;Q9NR99, 1442;P07942, 710;O60637, 764;Q9UBG0, 1151;P08174, 2273;O55026, 1414;P05556, 2963;P0DOX2, 329;Q14766, 1009;Q9UKU9, 797;Q9HDC9, 2501;P60755, 1075;O75339, 1645;P07602, 666;P07288, 751;P98095, 816;P28300, 600;P01266, 1235;P35555, 731;P43652, 790;P07288, 613;P07911, 1712;Q15293, 1483;P34810, 1005;P06280, 339;P08575, 2569;Q63912, 1847;Q14956, 2962;P0DOX2, 1408;P23229]	[10.1016/s0021-9258(19)50338-6, 10.1074/mcp.M112.024018, 10.1093/glycob/cwaa052, 10.1023/a:1019640312730, 10.1093/oxfordjournals.jbchem.a133671, 10.1042/bj2780505, 10.1111/j.1432-1033.1993.tb18200.x, 10.1042/ba19990105, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1093/glycob/3.3.225, 10.1016/s0021-9258(19)70676-0, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/cwaa101, 10.1371/journal.ppat.1009232, 10.1021/pr500238v, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1016/s0021-9258(19)69207-0, 10.1126/science.abb9983, 10.1074/mcp.RA119.001607, 10.1093/glycob/10.5.511, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1021/pr900956x, 10.1021/pr500394z, 10.1046/j.1432-1327.1999.00105.x]
H8N8F1	10	[356;P13473, 1193;Q9Y5L3, 79;P13987, 355;P11279, 1470;P51884, 1085;Q13740, 692;P25311, 1172;Q14126, 602;P10646, 320;P02788]	[10.1093/glycob/10.5.511, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893]
H4N3F2S1	5	[1406;P17301, 986;Q13510, 1271;P04062, 1175;P53634, 1479;Q14108]	[10.1038/s41467-019-09222-w]
